Geographic Identifier,Name of Area,Qualifying Name,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,% Population 16 Years and Over: in Labor Force,% Population 16 Years and Over: in Labor Force: in Armed Forces,% Population 16 Years and Over: in Labor Force: Civilian,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Population 16 Years and Over: Not in Labor Force,% Male Population 16 Years and Over: in Labor Force,% Male Population 16 Years and Over: in Labor Force: in Armed Forces,% Male Population 16 Years and Over: in Labor Force: Civilian,% Male Population 16 Years and Over: in Labor Force: Civilian: Employed,% Male Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Male Population 16 Years and Over: Not in Labor Force,% Female Population 16 Years and Over: in Labor Force,% Female Population 16 Years and Over: in Labor Force: in Armed Forces,% Female Population 16 Years and Over: in Labor Force: Civilian,% Female Population 16 Years and Over: in Labor Force: Civilian: Employed,% Female Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Female Population 16 Years and Over: Not in Labor Force,"% Households: Less than $10,000","% Households: $10,000 to $14,999","% Households: $15,000 to $19,999","% Households: $20,000 to $24,999","% Households: $25,000 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $44,999","% Households: $45,000 to $49,999","% Households: $50,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 to $199,999","% Households: $200,000 or More",Median Family Income (In 2016 Inflation Adjusted Dollars)
05000US22001,"Acadia Parish, Louisiana","Acadia Parish, Louisiana",62372,62372,95.2056,655.1295713,62372,1180,79.02,17.91,0.04,0.1,0.02,1.02,1.89,24.53,40.36,23.99,7.98,2.28,0.61,0.26,57.96,0,57.96,52.68,5.28,42.04,64.56,0,64.56,58.68,5.89,35.44,51.92,0,51.92,47.2,4.72,48.08,10.88,6.82,9.16,5.47,5.75,6.5,5.53,4.76,3.5,7.4,9.33,11.09,5.73,3.45,2.82,1.81,48031
05000US22003,"Allen Parish, Louisiana","Allen Parish, Louisiana",25619,25619,33.62904,761.8119374,25619,833,73.37,19.71,2.01,0.8,0,0.85,3.25,20.82,42.95,24.36,6.69,3.72,1.07,0.4,45.72,0.01,45.71,41.46,4.25,54.28,41.37,0.02,41.35,36.27,5.08,58.63,51.86,0,51.86,48.78,3.09,48.14,7.97,8.62,10.19,6.64,6.27,4,4.94,4.85,6.17,7.66,7.8,12.08,4.72,3.21,3.45,1.45,52989
05000US22005,"Ascension Parish, Louisiana","Ascension Parish, Louisiana",117009,117009,403.5154,289.9741003,117009,3229,73.98,21.84,0.06,0.9,0,0.45,2.76,11.75,34.85,26.8,18.94,5.89,1.25,0.53,68.57,0.14,68.43,64.39,4.04,31.43,74.84,0.13,74.71,70.59,4.13,25.16,62.58,0.15,62.43,58.48,3.95,37.42,5.83,4.86,3.63,3.16,3.78,3.34,4.14,3.76,2.71,6.71,10.33,14.83,12.46,7.4,8.7,4.36,80613
05000US22007,"Assumption Parish, Louisiana","Assumption Parish, Louisiana",22973,22973,67.83437,338.6631042,22973,168,67.82,29.95,0.61,0.21,0,0.67,0.73,27.33,41.47,19.79,7.92,3.11,0.26,0.12,55.18,0.03,55.15,50.62,4.53,44.82,59.33,0,59.33,54.31,5.03,40.67,51.21,0.06,51.15,47.08,4.06,48.79,10.57,7.05,7.96,4.66,6.43,4.06,4.73,2.18,4.31,6.06,7.54,15.1,7.15,6.12,2.74,3.34,59400
05000US22009,"Avoyelles Parish, Louisiana","Avoyelles Parish, Louisiana",41252,41252,49.55906,832.3805423,41252,272,66.89,30.53,1.22,0.33,0.07,0.29,0.66,26.81,41.55,21.5,7.15,2.42,0.43,0.13,50.58,0.06,50.52,46.24,4.28,49.42,50.01,0.12,49.89,46.77,3.12,49.99,51.15,0,51.15,45.7,5.44,48.85,13.38,7.7,10.28,7.47,6.59,4.6,4.39,5.69,2.23,6.22,9.31,9.24,5.24,2.32,3.94,1.4,46410
05000US22011,"Beauregard Parish, Louisiana","Beauregard Parish, Louisiana",36435,36435,31.48162,1157.342122,36435,931,82.5,13.12,0.79,0.49,0.01,0.52,2.56,15.53,41.3,26.84,11.62,3.53,0.78,0.4,55.31,0.99,54.32,50.51,3.81,44.69,64.37,1.78,62.59,57.62,4.97,35.63,45.94,0.16,45.77,43.16,2.61,54.06,7.37,7.26,6.72,6.42,4.9,5.18,4.75,5.83,4.16,7.02,10.64,13.02,8.42,3.73,2.3,2.27,59006
05000US22013,"Bienville Parish, Louisiana","Bienville Parish, Louisiana",13924,13924,17.16298,811.2807565,13924,188,55.59,41.4,0.1,0.01,0,1.54,1.35,17.07,41.61,28.36,8.37,3.74,0.35,0.5,52.21,0.05,52.17,46.95,5.22,47.79,57.79,0.09,57.69,53.03,4.66,42.21,47.16,0,47.16,41.43,5.72,52.84,13.47,10.18,7.51,6.4,4.65,7.3,2.96,6.69,3.19,7.93,7.51,11.14,5.02,2.47,1.97,1.6,44759
05000US22015,"Bossier Parish, Louisiana","Bossier Parish, Louisiana",124720,124720,148.4358,840.2284119,124720,2939,72.73,21.48,0.58,1.6,0.17,1.1,2.36,11.84,28.56,33.64,16.51,7.26,1.23,0.96,65.99,4.55,61.44,57.96,3.48,34.01,71.73,8.29,63.44,59.99,3.45,28.27,60.48,0.96,59.52,56.01,3.51,39.52,7.67,4.88,5.17,5.29,5.51,5.07,4.85,5.14,4.54,7.7,10.46,12.82,8.49,4.35,4.92,3.15,65642
05000US22017,"Caddo Parish, Louisiana","Caddo Parish, Louisiana",253125,253125,288.1267,878.5196657,253125,4081,47.23,48.64,0.35,1.21,0.03,0.93,1.61,13.91,32.82,29.46,14.93,5.83,1.91,1.12,58.45,0.34,58.11,54.01,4.1,41.55,62.67,0.66,62.01,57.4,4.61,37.33,54.76,0.06,54.71,51.05,3.65,45.24,11.56,7.13,6.25,7.26,5.89,5.83,5.22,4.7,4.21,6.91,8.28,9.89,6.26,3.44,3.5,3.68,53012
05000US22019,"Calcasieu Parish, Louisiana","Calcasieu Parish, Louisiana",197233,197233,185.3162,1064.30536,197233,4252,70.72,24.84,0.35,1.3,0.01,0.63,2.16,14.55,34.59,30.28,13.72,4.94,1.25,0.65,61.92,0.09,61.83,57.25,4.58,38.08,68.24,0.19,68.05,62.98,5.07,31.76,56.02,0,56.02,51.89,4.12,43.98,8.72,6.23,6.55,6.56,5.72,5.19,4.92,4.85,4.44,7.67,9.23,10.87,7.64,4.3,3.99,3.13,57037
05000US22021,"Caldwell Parish, Louisiana","Caldwell Parish, Louisiana",9997,9997,18.88276,529.424785,9997,74,81.57,16.41,0.91,0.28,0,0.08,0.74,24.15,43.21,20.89,8.08,2.31,1.36,0,52.88,0,52.88,47.11,5.77,47.12,57.12,0,57.12,48.89,8.23,42.88,48.28,0,48.28,45.18,3.1,51.72,16.75,12.16,10.18,6.99,4.1,4.73,4.57,3,3.36,4.92,9.11,7.59,5.45,2.06,3.77,1.27,44439
05000US22023,"Cameron Parish, Louisiana","Cameron Parish, Louisiana",6739,6739,5.244827,1284.885076,6739,7,95.33,1.59,0,0.52,0,2.46,0.1,16.53,36.74,29.8,12.56,3.84,0.35,0.18,63.15,0.48,62.67,60.44,2.22,36.85,70.1,0.98,69.12,66.29,2.83,29.9,56.44,0,56.44,54.8,1.64,43.56,3.51,2.98,4.22,6.71,3.96,6.07,3.73,3.69,2.94,5.05,13.57,15.04,12.48,5.24,5.65,5.16,79146
05000US22025,"Catahoula Parish, Louisiana","Catahoula Parish, Louisiana",10145,10145,14.32854,708.0275708,10145,42,66.49,32.76,0.08,0.15,0,0.11,0.41,22.99,42.09,21.82,10.23,2.25,0.39,0.23,49.69,0,49.69,46.07,3.62,50.31,50.93,0,50.93,47.59,3.34,49.07,48.25,0,48.25,44.3,3.95,51.75,12.06,13,6.14,7.13,7.18,4.69,3.32,4.5,2.76,5.33,6.75,8.6,8.15,3.22,3.51,3.65,53313
05000US22027,"Claiborne Parish, Louisiana","Claiborne Parish, Louisiana",16452,16452,21.79424,754.8781601,16452,429,46.13,50.5,0.55,0.03,0.02,0.17,2.61,22.38,39.72,24.93,8.82,3.23,0.61,0.31,43.49,0,43.49,37.24,6.25,56.51,41.99,0,41.99,34.98,7.01,58.01,45.58,0,45.58,40.38,5.2,54.42,17.35,11.19,10.48,5.78,6.71,5.78,5.4,3.48,4.75,6.79,5.66,7.64,3.6,2.56,2.01,0.81,38429
05000US22029,"Concordia Parish, Louisiana","Concordia Parish, Louisiana",20288,20288,29.1084,696.9809219,20288,61,58.04,41.1,0.06,0.13,0.12,0.24,0.3,22.95,41.23,24.55,8.08,2.6,0.44,0.16,48.91,0,48.91,44.16,4.75,51.09,46.95,0,46.95,43.23,3.72,53.05,50.93,0,50.93,45.12,5.81,49.07,11.77,15.75,9.3,8,6.4,5.13,4.86,2.76,3.87,8.6,8,6.06,3.91,2.01,2.39,1.21,40135
05000US22031,"De Soto Parish, Louisiana","De Soto Parish, Louisiana",27047,27047,30.8613,876.4050366,27047,464,59.1,37.38,0.86,0.37,0.04,0.52,1.72,18.73,40.18,27.63,9.68,2.92,0.68,0.18,55.67,0,55.67,50.21,5.46,44.33,58.6,0,58.6,53.53,5.07,41.4,53.02,0,53.02,47.21,5.81,46.98,12.57,9.77,6.4,4.55,4.07,6.29,3.8,5.11,4.11,6.77,9.79,9.69,5.9,4.16,4.64,2.37,55279
05000US22033,"East Baton Rouge Parish, Louisiana","East Baton Rouge Parish, Louisiana",445337,445337,978.0145,455.3480742,445337,7334,48.06,45.76,0.19,3.23,0.02,1.11,1.65,9.82,27.37,28.61,21.71,8.03,2.38,2.09,65.32,0.06,65.25,60.68,4.57,34.68,70.31,0.12,70.19,65.37,4.82,29.69,60.85,0.01,60.84,56.48,4.36,39.15,9.31,5.82,5.68,5.28,5.13,5.2,4.61,4.89,4.13,7.35,9.08,10.93,7.87,4.81,4.62,5.29,65559
05000US22035,"East Carroll Parish, Louisiana","East Carroll Parish, Louisiana",7419,7419,17.63471,420.704343,7419,127,27.16,71.13,0,0,0,0,1.71,29.56,36.57,22.6,8.77,1.68,0.2,0.63,35.58,0,35.58,31.48,4.1,64.42,24.02,0,24.02,21.8,2.23,75.98,51.65,0,51.65,44.96,6.7,48.35,21.04,15.8,9.03,8.41,12.91,5.4,3.29,3.05,4.15,4.34,3.32,2.82,1.53,3.13,1.56,0.23,26804
05000US22037,"East Feliciana Parish, Louisiana","East Feliciana Parish, Louisiana",19756,19756,43.57276,453.402564,19756,128,53.74,44.95,0.16,0.26,0,0.24,0.65,17.6,44.23,25.23,9.47,2.33,0.55,0.6,46.07,0,46.07,43.25,2.81,53.93,41.22,0,41.22,38.16,3.07,58.78,51.92,0,51.92,49.41,2.51,48.08,8.55,5.56,7.07,5.94,4.93,5.56,3.49,4.73,5.06,11.3,9.53,11.11,6.17,6.08,3.21,1.73,54821
05000US22039,"Evangeline Parish, Louisiana","Evangeline Parish, Louisiana",33765,33765,50.9754,662.3784079,33765,556,68.5,27.42,0.18,0.35,0,1.9,1.65,28.75,36.56,22.77,8.49,2.54,0.8,0.09,49.15,0.17,48.97,43.5,5.47,50.85,50.91,0.34,50.58,42.82,7.76,49.09,47.27,0,47.27,44.23,3.04,52.73,11.08,12.25,9.94,9.8,5.95,5.39,3.56,3.98,4.16,5.81,9.24,7.33,4.84,2.86,1.31,2.5,42728
05000US22041,"Franklin Parish, Louisiana","Franklin Parish, Louisiana",20464,20464,32.76415,624.585022,20464,195,65.84,33.12,0.03,0.05,0,0,0.95,25.9,40.28,21.93,8.02,3.45,0.21,0.21,50.1,0,50.1,45.04,5.06,49.9,52.83,0,52.83,45.96,6.87,47.17,47.57,0,47.57,44.18,3.39,52.43,11.26,15.4,9.69,6.13,5.9,6.08,3.4,4.28,2.86,8.35,6.69,7.94,6.16,2.34,2.02,1.49,44839
05000US22043,"Grant Parish, Louisiana","Grant Parish, Louisiana",22372,22372,34.79175,643.0260526,22372,615,79.95,14.33,1.24,0.24,0,1.48,2.75,19.02,42.92,28.73,6.54,2.19,0.32,0.29,43.03,0.01,43.01,39.42,3.6,56.97,39.14,0.02,39.12,34.66,4.46,60.86,48.19,0,48.19,45.74,2.45,51.81,12.35,6.66,5.24,6.44,5.37,8.25,5.05,6.09,3.5,7.32,11.19,9.66,5.92,4.28,1.33,1.36,52711
05000US22045,"Iberia Parish, Louisiana","Iberia Parish, Louisiana",73799,73799,128.5448,574.1111758,73799,2111,61.88,31.23,0.09,2.79,0,1.16,2.86,22.21,41.28,22.77,9.67,2.71,0.77,0.59,61.78,0.01,61.77,54.87,6.9,38.22,68.19,0.03,68.17,61,7.17,31.81,55.75,0,55.75,49.1,6.65,44.25,9.26,5.95,8.08,5.22,5.34,5.66,5.13,5.72,4.95,8.12,7.94,10.78,7.65,3.96,3.09,3.14,51001
05000US22047,"Iberville Parish, Louisiana","Iberville Parish, Louisiana",33159,33159,53.60072,618.6297326,33159,196,49.31,49.15,0.2,0.05,0,0.69,0.59,22.56,39.74,24.31,9.2,3.05,0.49,0.65,52.75,0.23,52.53,48.75,3.77,47.25,53.89,0.44,53.45,48.39,5.06,46.11,51.61,0.01,51.6,49.12,2.48,48.39,10.89,7.37,6.29,6.37,4.97,3.41,5.21,4.43,3.24,8.99,10.83,9.55,7.68,3.93,4.92,1.9,55643
05000US22049,"Jackson Parish, Louisiana","Jackson Parish, Louisiana",15999,15999,28.10835,569.1902202,15999,50,67.95,30.23,0.03,0.45,0,1.03,0.31,19.96,43.28,23.11,8.81,3.35,0.85,0.63,46.33,0,46.33,43.74,2.59,53.67,44.43,0,44.43,42.23,2.19,55.57,48.27,0,48.27,45.28,2.99,51.73,12.24,9.39,7.22,7.06,6.49,5.16,3.62,6,4,7.96,6.77,10.76,6.86,3.16,2.64,0.68,47813
05000US22051,"Jefferson Parish, Louisiana","Jefferson Parish, Louisiana",435204,435204,1472.116,295.6315288,435204,8628,63.77,26.52,0.4,4.17,0.03,3.11,1.98,15.31,31.13,28.74,16.66,5.19,2.07,0.89,64.19,0.17,64.02,59.93,4.09,35.81,70.29,0.27,70.02,65.47,4.55,29.71,58.55,0.08,58.47,54.81,3.66,41.45,7.43,5.74,5.89,5.6,5.59,5.89,4.95,4.92,4.46,7.68,9.85,11.61,7.77,4.31,4.27,4.02,62794
05000US22053,"Jefferson Davis Parish, Louisiana","Jefferson Davis Parish, Louisiana",31399,31399,48.20498,651.3641793,31399,656,80.23,16.49,0.68,0.34,0,0.17,2.09,20.98,41.27,23.2,9.3,4.35,0.76,0.14,57.63,0.06,57.58,52.66,4.91,42.37,63.53,0.12,63.41,58.55,4.86,36.47,52.26,0,52.26,47.3,4.96,47.74,12.06,7.05,7.65,7.93,5.84,4.81,5.5,2.87,4.51,7.27,5.63,10.35,8.66,3.88,2.8,3.19,54384
05000US22055,"Lafayette Parish, Louisiana","Lafayette Parish, Louisiana",234963,234963,874.2985,268.7445841,234963,4847,69.97,25.53,0.19,1.61,0,0.64,2.06,13.64,28.24,27.24,21.56,6.4,1.79,1.13,67.77,0.13,67.64,64.16,3.48,32.23,74.03,0.22,73.82,69.82,4,25.97,61.91,0.05,61.87,58.88,2.99,38.09,8.44,5.62,5.48,5.79,4.74,4.79,4.03,4.82,3.59,7.19,8.98,11.64,8.23,5.37,5.42,5.87,68909
