Geographic Identifier,Name of Area,Qualifying Name,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,% Population 16 Years and Over: in Labor Force,% Population 16 Years and Over: in Labor Force: in Armed Forces,% Population 16 Years and Over: in Labor Force: Civilian,% Population 16 Years and Over: in Labor Force: Civilian: Employed,% Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Population 16 Years and Over: Not in Labor Force,% Male Population 16 Years and Over: in Labor Force,% Male Population 16 Years and Over: in Labor Force: in Armed Forces,% Male Population 16 Years and Over: in Labor Force: Civilian,% Male Population 16 Years and Over: in Labor Force: Civilian: Employed,% Male Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Male Population 16 Years and Over: Not in Labor Force,% Female Population 16 Years and Over: in Labor Force,% Female Population 16 Years and Over: in Labor Force: in Armed Forces,% Female Population 16 Years and Over: in Labor Force: Civilian,% Female Population 16 Years and Over: in Labor Force: Civilian: Employed,% Female Population 16 Years and Over: in Labor Force: Civilian: Unemployed,% Female Population 16 Years and Over: Not in Labor Force,"% Households: Less than $10,000","% Households: $10,000 to $14,999","% Households: $15,000 to $19,999","% Households: $20,000 to $24,999","% Households: $25,000 to $29,999","% Households: $30,000 to $34,999","% Households: $35,000 to $39,999","% Households: $40,000 to $44,999","% Households: $45,000 to $49,999","% Households: $50,000 to $59,999","% Households: $60,000 to $74,999","% Households: $75,000 to $99,999","% Households: $100,000 to $124,999","% Households: $125,000 to $149,999","% Households: $150,000 to $199,999","% Households: $200,000 or More",Median Family Income (In 2016 Inflation Adjusted Dollars)
05000US22057,"Lafourche Parish, Louisiana","Lafourche Parish, Louisiana",97688,97688,91.44019,1068.326754,97688,2354,79.51,13.28,2.2,0.82,0.03,1.75,2.41,24.69,39.28,19.87,11.2,3.42,0.77,0.77,60.89,0.09,60.8,56.35,4.45,39.11,69.39,0.19,69.2,64.32,4.88,30.61,52.82,0,52.82,48.78,4.03,47.18,7.16,6.5,5.49,6.25,5.38,5.31,4.3,4.22,3.54,8.03,10.28,12.87,8.21,4.59,4.87,2.99,60915
05000US22059,"LaSalle Parish, Louisiana","LaSalle Parish, Louisiana",14927,14927,23.89527,624.684309,14927,123,85.61,12.35,0.99,0.01,0.08,0.13,0.82,24.24,42.8,21.92,7.9,2.54,0.33,0.28,45.63,0,45.63,43.25,2.38,54.37,48.45,0,48.45,45.17,3.29,51.55,42.39,0,42.39,41.05,1.33,57.61,11.73,9.14,8.97,8.1,3.76,7.65,6,4.76,4.89,5.56,6,10.9,3.4,4.04,3.14,1.97,42404
05000US22061,"Lincoln Parish, Louisiana","Lincoln Parish, Louisiana",47480,47480,100.6482,471.7419849,47480,780,53.97,40.81,0.14,1.78,0,1.66,1.64,12.52,27.55,24.57,20.36,10.38,1.56,3.06,59.99,0.07,59.92,53.68,6.24,40.01,64.04,0.14,63.9,56.07,7.84,35.96,56.19,0,56.19,51.44,4.75,43.81,17.18,6.61,7.33,8.51,6.03,4.64,3.55,3.67,3.19,6.16,8.19,8.34,6.49,3,3.56,3.55,53791
05000US22063,"Livingston Parish, Louisiana","Livingston Parish, Louisiana",135925,135925,209.706,648.1693043,135925,1895,90.96,5.98,0.3,0.46,0.01,0.91,1.39,16.09,40.22,26.29,12.82,3.44,0.61,0.53,63.38,0.06,63.31,59.38,3.93,36.62,69.89,0.1,69.79,65.24,4.55,30.11,57.25,0.03,57.22,53.87,3.35,42.75,6.91,4.36,5.41,3.98,5.46,4.15,4.13,4.87,3.9,8.27,11.08,13.01,9.99,6.35,5.44,2.69,67395
05000US22065,"Madison Parish, Louisiana","Madison Parish, Louisiana",11803,11803,18.90185,624.4362646,11803,85,35.96,63.08,0.08,0,0,0.17,0.72,25.55,40.37,22.06,7.43,3.64,0.5,0.45,48.59,0,48.59,41.76,6.83,51.41,47.03,0,47.03,39.77,7.25,52.97,50.13,0,50.13,43.72,6.41,49.87,18.9,16.42,7.35,6.67,5.86,6.52,4.44,3.06,5.07,4.22,6.42,7.7,2.43,3.5,0.98,0.47,34167
05000US22067,"Morehouse Parish, Louisiana","Morehouse Parish, Louisiana",26739,26739,33.63675,794.9342406,26739,190,50.14,48.17,0.08,0.34,0,0.55,0.71,19.73,44.25,22.37,10.27,1.88,1.06,0.45,50.99,0.07,50.92,46.81,4.11,49.01,52.89,0.15,52.74,46.91,5.83,47.11,49.27,0,49.27,46.72,2.55,50.73,15.26,10.27,8.53,8.61,6.88,7.85,5.3,2.5,4.94,7.89,6,7.5,4.12,1.03,2.01,1.33,37155
05000US22069,"Natchitoches Parish, Louisiana","Natchitoches Parish, Louisiana",39258,39258,31.34969,1252.261036,39258,828,54.53,40.44,1.27,0.64,0,1.01,2.11,16.52,32.94,31.8,11.11,5.74,0.84,1.06,50.45,0.04,50.41,44.29,6.11,49.55,52.86,0.07,52.79,46.73,6.06,47.14,48.37,0.01,48.36,42.2,6.16,51.63,19.47,9.38,7.95,6.08,6.28,5.42,4.51,4.4,3.71,4.8,7.37,7.34,5.38,2.7,3.04,2.17,46933
05000US22071,"Orleans Parish, Louisiana","Orleans Parish, Louisiana",382922,382922,2260.174,169.4214491,382922,6232,34.03,59.84,0.2,2.93,0.03,1.34,1.63,14.33,22.94,26.55,20.71,9.2,4.24,2.03,62.15,0.28,61.87,55.82,6.05,37.85,64.93,0.52,64.42,58.24,6.18,35.07,59.67,0.06,59.61,53.67,5.93,40.33,15.59,7.95,6.95,6.18,5.76,4.97,4.54,4.28,3.73,6.21,7.32,8.62,5.6,3.42,3.67,5.21,51289
05000US22073,"Ouachita Parish, Louisiana","Ouachita Parish, Louisiana",156398,156398,256.2198,610.405571,156398,1217,60,37.52,0.27,0.95,0.01,0.47,0.78,14.97,33.46,27.39,15.75,6.39,1.31,0.73,57.77,0.03,57.74,53.21,4.53,42.23,59.07,0.03,59.04,54.49,4.56,40.93,56.62,0.03,56.59,52.08,4.51,43.38,12.41,8.42,6.51,7.3,5.41,5.98,4.79,4.84,3.65,6.8,8.19,9.66,5.87,4.03,2.72,3.43,51112
05000US22075,"Plaquemines Parish, Louisiana","Plaquemines Parish, Louisiana",23584,23584,30.22295,780.3341174,23584,688,69.48,20.72,1.09,3.58,0,2.22,2.92,19.55,38.04,26.6,11.12,3.79,0.58,0.32,61,3.73,57.27,55.04,2.23,39,71.11,6.44,64.68,62,2.67,28.89,51.26,1.12,50.14,48.34,1.8,48.74,9.28,6.19,3.69,6.89,4.72,6.65,4.12,3.82,4.42,9.42,9.88,9.89,7.24,4.16,6.35,3.27,60823
05000US22077,"Pointe Coupee Parish, Louisiana","Pointe Coupee Parish, Louisiana",22366,22366,40.12946,557.3461622,22366,325,62.27,35.21,0.24,0.12,0,0.72,1.45,20.02,41.2,24.83,9.63,3.08,1.04,0.18,56.5,0,56.5,51.55,4.95,43.5,62.59,0,62.59,56.43,6.16,37.41,50.93,0,50.93,47.09,3.84,49.07,10.62,5.6,7.77,7.18,5.4,5.43,3.64,5.1,4.58,6.82,9.25,11.76,6.48,3.73,3.57,3.09,55487
05000US22079,"Rapides Parish, Louisiana","Rapides Parish, Louisiana",132373,132373,100.4339,1318.010839,132373,2199,63.96,31.99,0.6,1.54,0.04,0.21,1.66,15.25,37.55,27.35,12.72,4.82,1.41,0.91,57.17,0.54,56.63,52.09,4.55,42.83,62.15,0.76,61.39,55.78,5.6,37.85,52.68,0.33,52.35,48.75,3.59,47.32,9.49,6.51,8.93,5.75,6.13,5.64,4.93,5.53,3.89,7.97,8.68,10.81,6.37,3.58,3.1,2.69,52299
05000US22081,"Red River Parish, Louisiana","Red River Parish, Louisiana",8757,8757,22.50634,389.0902969,8757,295,58,37.35,0.41,0.07,0.19,0.61,3.37,19.32,44.96,22.18,8.74,3.99,0.26,0.55,53.29,0.12,53.17,48.91,4.26,46.71,62.27,0.25,62.02,59.05,2.97,37.73,45.02,0,45.02,39.58,5.44,54.98,16.93,9.8,7.93,6.07,4.07,4.3,3.07,3.78,6.67,4.76,11.95,5.01,5.99,3.78,1.95,3.95,48538
05000US22083,"Richland Parish, Louisiana","Richland Parish, Louisiana",20692,20692,36.99735,559.2833202,20692,178,62.22,36.37,0.07,0.11,0,0.38,0.86,20.52,41.2,24.53,8.92,3.49,1.02,0.33,53.62,0.07,53.54,47.8,5.74,46.38,57.95,0.15,57.79,50.28,7.52,42.05,49.61,0,49.61,45.52,4.1,50.39,10.04,8.61,9.51,9.41,5.75,6.03,4.22,5.01,4.33,6.08,8.93,9.77,5.45,2.92,2.02,1.93,45546
05000US22085,"Sabine Parish, Louisiana","Sabine Parish, Louisiana",24144,24144,27.85871,866.6591011,24144,1016,70.38,16.75,7.92,0.39,0.05,0.31,4.21,17.53,43,25.62,8.93,3.72,0.84,0.37,51.18,0.03,51.15,46.16,4.99,48.82,59.9,0.06,59.83,53.07,6.76,40.1,42.83,0,42.83,39.54,3.29,57.17,11.91,7.64,6.51,7.6,6.66,5.19,5.01,4.63,4.2,6.09,9.26,9.34,6.54,4.12,2.19,3.12,52273
05000US22087,"St. Bernard Parish, Louisiana","St. Bernard Parish, Louisiana",44091,44091,116.7947,377.5087143,44091,1015,71.19,21.95,0.66,2.26,0.08,1.56,2.3,18.18,39.51,29.08,10.25,2.07,0.57,0.33,59.99,0.08,59.92,53.28,6.63,40.01,66.01,0.16,65.85,59.13,6.72,33.99,54.19,0,54.19,47.64,6.55,45.81,10.69,5.78,6.82,6.73,4.84,5.6,5.22,5.71,4.39,7.47,9.91,13.13,6.01,3.58,3.03,1.08,49143
05000US22089,"St. Charles Parish, Louisiana","St. Charles Parish, Louisiana",52708,52708,189.7871,277.7217501,52708,577,70.32,26.36,0.23,0.99,0.03,0.98,1.09,12.83,35.7,30.81,15.33,4.68,0.3,0.35,65.15,0.11,65.04,59.72,5.31,34.85,70.24,0.23,70.01,63.66,6.35,29.76,60.42,0,60.42,56.07,4.35,39.58,6.41,4.57,4.86,4.1,3.6,6.26,3.88,3.43,3.22,7.7,9.37,13.32,11.04,6.33,8.33,3.57,73382
05000US22091,"St. Helena Parish, Louisiana","St. Helena Parish, Louisiana",10714,10714,26.23355,408.4083046,10714,74,44.57,53.17,1.12,0.43,0,0.02,0.69,21.02,45.79,22.6,5.15,3.93,1.17,0.35,49.85,0,49.85,42.71,7.15,50.15,51.6,0,51.6,45.82,5.77,48.4,48.24,0,48.24,39.82,8.42,51.76,14.31,10.36,7.14,5.01,7.36,4.66,4.14,10.07,3.17,7.04,5.95,11.33,5.33,2.06,0.79,1.26,41989
05000US22093,"St. James Parish, Louisiana","St. James Parish, Louisiana",21581,21581,89.34802,241.5386511,21581,166,48.59,49.99,0.11,0.25,0,0.29,0.77,14.49,44.5,26.58,10.64,3.22,0.23,0.34,58.87,0,58.87,53.91,4.96,41.13,65.44,0,65.44,60.37,5.07,34.56,52.94,0,52.94,48.08,4.86,47.06,7.97,6.2,5.81,6.79,4.34,5.18,3.45,4.84,4.65,6.5,11.93,11.49,6.97,5.65,4.97,3.26,62673
05000US22095,"St. John the Baptist Parish, Louisiana","St. John the Baptist Parish, Louisiana",43888,43888,204.7911,214.3062284,43888,775,41.07,55.12,0.06,0.78,0.13,1.06,1.77,17.03,36.47,29.63,12.16,3.12,1.02,0.58,61.39,0.12,61.27,56.26,5.01,38.61,65.13,0.25,64.89,59.36,5.53,34.87,57.87,0,57.87,53.34,4.53,42.13,7.39,5.94,5.34,6.79,3.73,5.29,4.19,5.17,4.37,9.67,11.48,11.33,7.41,5.3,4.86,1.73,56890
05000US22097,"St. Landry Parish, Louisiana","St. Landry Parish, Louisiana",83699,83699,90.59259,923.9056119,83699,1396,56.23,41.19,0.06,0.36,0,0.48,1.67,23.94,43.46,19.44,8.94,3.14,0.78,0.3,51.82,0.02,51.8,48.79,3.01,48.18,55.26,0,55.26,51.62,3.65,44.74,48.76,0.03,48.73,46.29,2.45,51.24,17.18,9.24,8.59,7.85,5.33,5.27,4.14,4.1,3.9,5.97,8.22,7.52,5.7,2.78,2.27,1.94,42298
05000US22099,"St. Martin Parish, Louisiana","St. Martin Parish, Louisiana",53385,53385,72.37055,737.6618826,53385,1135,65.96,29.32,0.78,0.99,0.03,0.8,2.13,20.9,41.08,24.23,10.24,2.75,0.35,0.44,62.26,0,62.26,57.92,4.35,37.74,65.82,0,65.82,60.82,4.99,34.18,58.85,0,58.85,55.13,3.72,41.15,8.19,6.75,7.06,6.74,6.12,4.89,4.82,4.79,3.37,8.35,8.35,12.29,7.76,4.69,3.32,2.51,54944
05000US22101,"St. Mary Parish, Louisiana","St. Mary Parish, Louisiana",53053,53053,95.49783,555.5414033,53053,1718,60.21,31.39,1.08,1.7,0.02,2.37,3.24,21.71,47.32,19.99,7.62,2.54,0.72,0.1,57.18,0.17,57.01,50.78,6.23,42.82,65.95,0.31,65.64,57.59,8.05,34.05,48.76,0.03,48.72,44.25,4.48,51.24,10.68,6.61,7.52,6.44,7.19,4.66,5.75,5.56,4.98,9.38,8.86,8.42,5.81,2.96,2.76,2.43,50138
05000US22103,"St. Tammany Parish, Louisiana","St. Tammany Parish, Louisiana",246269,246269,291.2076,845.6818302,246269,4637,83.72,11.59,0.45,1.55,0.03,0.78,1.88,11.24,26.62,30.85,20.44,6.91,2.65,1.29,63.74,0.22,63.52,58.88,4.65,36.26,70.69,0.38,70.31,64.66,5.65,29.31,57.33,0.07,57.25,53.54,3.72,42.67,5.24,4.29,4.91,3.99,4.74,4.9,4.51,3.94,3.66,7.29,10.52,12.96,9.6,6.14,6.64,6.67,75631
05000US22105,"Tangipahoa Parish, Louisiana","Tangipahoa Parish, Louisiana",127115,127115,160.6383,791.3118238,127115,2576,67.21,29.35,0.36,0.79,0.01,0.26,2.03,18.63,35.73,25.85,13.57,4.45,1,0.77,61.23,0.11,61.12,55.14,5.98,38.77,66.85,0.23,66.62,59.69,6.93,33.15,56.1,0,56.1,50.99,5.11,43.9,10.6,6.9,9.09,6.02,5.02,5.01,5.06,3.16,4.09,6.52,9.59,11.74,7.38,3.67,4.29,1.86,55729
05000US22107,"Tensas Parish, Louisiana","Tensas Parish, Louisiana",4793,4793,7.951433,602.7844453,4793,12,43.73,55.69,0,0,0,0.33,0.25,23.32,46.15,21.45,6.69,2.06,0,0.34,52.57,0,52.57,44.7,7.87,47.43,56.29,0,56.29,46.93,9.36,43.71,49.13,0,49.13,42.64,6.49,50.87,17.41,13.34,13.34,8.86,6.18,6.18,5.92,3.66,2.01,5.46,4.89,4.79,3.19,3.09,0.77,0.88,32411
05000US22109,"Terrebonne Parish, Louisiana","Terrebonne Parish, Louisiana",113099,113099,91.8187,1231.764434,113099,2867,71.11,19.08,5.37,0.84,0.06,1.02,2.53,22.19,39.82,23.68,10.65,2.6,0.85,0.21,58.69,0.11,58.58,55.47,3.11,41.31,66.93,0.16,66.77,63.46,3.31,33.07,50.75,0.07,50.69,47.77,2.92,49.25,8.21,5.61,6.2,6.47,5.24,4.65,4.97,5.67,4.09,7.48,9.13,11.97,8.45,5.11,3.34,3.39,57180
05000US22111,"Union Parish, Louisiana","Union Parish, Louisiana",22460,22460,25.61071,876.9769373,22460,290,71.49,25.58,0.07,0.14,0.19,1.24,1.29,14.78,46.15,26.95,8.54,2.8,0.44,0.34,49.82,0.06,49.76,46.46,3.3,50.18,56.9,0.12,56.77,52.89,3.88,43.1,42.95,0,42.95,40.21,2.74,57.05,13.9,9.53,6.48,6.9,4.76,5.55,5.97,3.53,4.15,8.52,8.81,9.75,4.54,2.47,3.39,1.76,51262
05000US22113,"Vermilion Parish, Louisiana","Vermilion Parish, Louisiana",59524,59524,50.73602,1173.209945,59524,935,81.25,14.15,0.52,2.24,0,0.27,1.57,24.01,41.28,22.39,9.17,2.47,0.31,0.36,59.5,0.01,59.49,54.6,4.9,40.5,66.35,0.01,66.34,61.74,4.6,33.65,53.29,0.01,53.28,48.11,5.16,46.71,9.93,7.62,4.26,6.03,5.99,4.23,4.9,5.04,4.34,6.52,10.83,11.26,8.65,4.81,3.18,2.43,58338
05000US22115,"Vernon Parish, Louisiana","Vernon Parish, Louisiana",52101,52101,39.23528,1327.911956,52101,1964,76.55,14.35,1.25,1.7,0.44,1.95,3.77,12.46,37.17,32.6,12.76,3.88,0.75,0.39,61.58,12.62,48.96,44.93,4.03,38.42,71.49,21.37,50.12,46.41,3.71,28.51,50.39,2.74,47.64,43.25,4.39,49.61,6.34,5.26,5.76,7.14,5.57,7.03,5.51,5.14,6.74,8.48,11.91,10.83,6.81,3.46,2.28,1.76,53200
05000US22117,"Washington Parish, Louisiana","Washington Parish, Louisiana",46367,46367,69.25317,669.5288472,46367,936,67.19,29.81,0.27,0.21,0.01,0.49,2.02,23.53,41.81,22.74,8.14,2.96,0.48,0.35,50.02,0.02,50.01,43.46,6.55,49.98,52.11,0.03,52.08,45.27,6.8,47.89,48.05,0,48.05,41.73,6.31,51.95,16.49,8.06,8.73,9.18,5.92,5.84,5.03,4.68,3.08,5.72,8.6,9.05,4.52,1.35,2.08,1.68,44239
05000US22119,"Webster Parish, Louisiana","Webster Parish, Louisiana",40335,40335,67.99997,593.1620625,40335,415,63.61,34.45,0.47,0.25,0.06,0.13,1.03,19,41.03,26.06,10.47,2.68,0.43,0.34,51.13,0.16,50.97,46.73,4.24,48.87,57.62,0.26,57.36,52.8,4.57,42.38,45.18,0.07,45.12,41.17,3.95,54.82,13.82,8.98,8.99,7.93,7.58,5.76,5.86,4.87,3.37,7.35,6.98,7.57,5.19,2.99,1.66,1.1,43106
05000US22121,"West Baton Rouge Parish, Louisiana","West Baton Rouge Parish, Louisiana",25017,25017,130.0312,192.3923539,25017,338,59.29,38.05,0.28,0.62,0,0.42,1.35,16.18,38.23,25.92,13.43,4.56,1.16,0.52,65.3,0.08,65.22,60.89,4.32,34.7,67.23,0.17,67.06,62.97,4.09,32.77,63.43,0,63.43,58.87,4.56,36.57,7.67,5.68,5.63,6.47,4.13,2.7,4.01,3.19,5.66,8.76,7.26,10.93,11.37,9.37,5.05,2.11,67500
05000US22123,"West Carroll Parish, Louisiana","West Carroll Parish, Louisiana",11370,11370,31.61443,359.645935,11370,114,81.28,15.98,0.27,0.04,0,1.42,1,24.45,42.62,20.55,7.77,3.79,0.8,0.03,48.22,0,48.22,42.88,5.34,51.78,50.99,0,50.99,43.61,7.38,49.01,45.46,0,45.46,42.16,3.3,54.54,9.25,8.27,10.85,9.7,6.05,3.85,4.42,3.58,3.63,10.47,8.58,7.46,6.38,1.91,3.46,2.15,46316
05000US22125,"West Feliciana Parish, Louisiana","West Feliciana Parish, Louisiana",15384,15384,38.1526,403.2228227,15384,105,53.25,45.53,0.29,0.12,0,0.12,0.68,20.72,31.71,25.09,14.13,6.03,1.14,1.18,44.71,0,44.71,40.04,4.67,55.29,39.74,0,39.74,33.42,6.32,60.26,52.9,0,52.9,50.95,1.95,47.1,11.14,6.96,2.06,6.55,2.35,5.44,5.47,4.92,2.99,5.05,8.02,13.74,8.92,8.28,3.3,4.82,79832
05000US22127,"Winn Parish, Louisiana","Winn Parish, Louisiana",14695,14695,15.46702,950.0862305,14695,116,66.43,31.34,0.93,0,0,0.51,0.79,20.34,41.57,25.45,7.71,3.62,0.97,0.34,46.83,0,46.83,43.38,3.44,53.17,44.76,0,44.76,41.22,3.54,55.24,49.16,0,49.16,45.82,3.34,50.84,13.9,10.4,9.15,8.22,6.51,3.6,6.73,3.81,2.72,5.85,6.88,8.27,6.19,3.75,2.21,1.82,41298